stateCode,First_Name,Last name,Combined name,phone,stateCode,First_Name,Last name,Combined name,phone
AK,Lisa,Murkowski,Lisa Murkowski,(907)271-3735|(907)456-0233|(907)586-7277|(907)376-7665|(907)283-5808|(907)225-6880,AK,Daniel,Sullivan,Daniel Sullivan,(907)271-5915|(907)456-0261|(907)586-7277|(907)357-9956|(907)283-4000|(907)225-6880
AL,Jeff,Sessions,Jeff Sessions,(205)731-1500|(256)533-0979|(251)414-3083|(334)230-0698|(334)792-4924,AL,Richard C.,Shelby,Richard C. Shelby,(205)731-1384|(256)772-0460|(251)694-4164|(334)223-7303|(205)759-5047
AR,John,Boozman,John Boozman,(501)372-7153|(479)573-0189|(479)725-0400|(870)424-0129|(870)268-6925|(870)672-6941|(870)863-4641,AR,Tom,Cotton,Tom Cotton,(870)864-8582|(501)223-9081|(870)933-6223|(479)751-0879
AZ,Jeff,Flake,Jeff Flake,(602)840-1891|(520)575-8633,AZ,John,McCain,John McCain,(602)952-2410|(928)445-0833|(520)670-6334
CA,Kamala,Harris,Kamala Harris,(916)448-2787|(916)448-2787|(213)894-5000|(415)355-9041|(619)239-3884,CA,Dianne,Feinstein,Dianne Feinstein,(415)393-0707|(310)914-7300|(619)231-9712|(559)485-7430
CO,Michael F.,Bennet,Michael F. Bennet,(303)455-7600|(719)542-7550|(719)587-0096|(719)328-1100|(970)224-2200|(970)241-6631|(970)259-1710,CO,Cory,Gardner,Cory Gardner,(719)543-1324|(719)632-6706|(303)391-5777|(970)415-7416|(970)245-9553|(970)352-5546|(970)484-3502|(970)848-3095
CT,Richard,Blumenthal,Richard Blumenthal,(203)330-0598,CT,Christopher,Murphy,Christopher Murphy,(860)549-8463
DE,Thomas R.,Carper,Thomas R. Carper,(302)573-6291|(302)674-3308|(302)856-7690,DE,Christopher A.,Coons,Christopher A. Coons,(302)573-6345|(302)736-5601
FL,Bill,Nelson,Bill Nelson,(954)693-4851|(239)334-7760|(904)346-4500|(305)536-5999|(407)872-7161|(850)942-8415|(813)225-7040|(561)514-0189,Fl,Marco,Rubio,Marco Rubio,(407)254-2573(305)418-8553|(813)287-5035|(904)398-8586|(850)433-2603|(850)599-9100|(239)213-1521|(561)775-3360
GA,Johnny,Isakson,Johnny Isakson,(770)661-0999,GA,David,Perdue,David Perdue,(404)865-0087
HI,Mazie K.,Hirono,Mazie K. Hirono,(808)522-8970,HI,Brian,Schatz,Brian Schatz,(808)523-2061
IA,Joni,Ernst,Joni Ernst,(515)284-4574|(563)322-0677|(319)365-4504|(712)252-1550|(712)352-1167,IA,Chuck,Grassley,Chuck Grassley,(319)363-6832|(712)322-7103|(563)322-4331|(515)288-1145|(712)233-1860|(319)232-6657
ID,Mike,Crapo,Mike Crapo,(208)522-9779|(208)334-1776|(208)743-1492|(208)734-2515|(208)236-6775|(208)664-5490,ID,James E.,Risch,James E. Risch,(208)342-7985|(208)667-6130|(208)523-5541|(208)743-0792|(208)236-6817|(208)734-6780
IL,Richard J.,Durbin,Richard J. Durbin,(312)353-4952|(217)492-4062|(618)351-1122|(309)786-5173,IL,Tammy,Duckworth,Tammy Duckworth,(312)886-3506
IN,Todd,Young,Todd Young,(317)226-6700|(812)542-4820,IN,Joe,Donnelly,Joe Donnelly,(812)425-5813|(260)420-4955|(219)852-0089|(317)226-5555|(812)284-2027|(574)288-2780
KS,Jerry,Moran,Jerry Moran,(785)628-6401|(785)539-8973|(620)232-2286|(316)631-1410|(913)393-0711,KS,Pat,Roberts,Pat Roberts,(913)451-9343|(620)227-2244|(785)295-2745|(316)263-0416
KY,Mitch,McConnell,Mitch McConnell,(502)582-6304|(859)224-8286|(859)578-0188|(606)864-2026|(270)781-1673|(270)442-4554,KY,Rand,Paul,Rand Paul,(270)782-8303|(859)426-0165|(502)582-5341|(270)689-9085|(270)885-1212|(859)219-2239
LA,John,Kennedy,John Kennedy,(202)224-4623,LA,Bill,Cassidy,Bill Cassidy,(225)929-7711|(504)838-0130|(337)261-1400|(337)493-5398|(318)324-2111|(318)448-7176|(318)798-3215
MA,Edward J.,Markey,Edward J. Markey,(617)565-8519|(508)677-0523|(413)785-4610,MA,Elizabeth,Warren,Elizabeth Warren,(617)565-3170|(413)788-2690
MD,Chris,Van Hollen,Chris Van Hollen,(202)224-4654,MD,Benjamin L.,Cardin,Benjamin L. Cardin,(410)962-4436|(301)860-0414|(301)777-2957|(301)762-2974|(410)546-4250
ME,Susan M.,Collins,Susan M. Collins,(207)622-8414|(207)945-0417|(207)283-1101|(207)493-7873|(207)784-6969|(207)780-3575,ME,Angus S.,King,Angus S. King,(207)622-8292|(207)945-8000|(207)764-5124|(207)883-1588
MI,Gary C.,Peters,Gary C. Peters,(313)226-6020|(517)377-1508|(616)233-9150|(906)226-4554|(248)608-8040|(989)754-0112|(231)947-7773,MI,Debbie,Stabenow,Debbie Stabenow,(517)203-1760|(313)961-4330|(616)975-0052|(810)720-4172|(906)228-8756|(231)929-1031
MN,Al,Franken,Al Franken,(218)284-8721|(218)722-2390|(651)221-1016|(507)288-2003,MN,Amy,Klobuchar,Amy Klobuchar,(612)727-5220|(507)288-5321|(218)287-2219|(218)741-9690
MO,Roy,Blunt,Roy Blunt,(417)877-7814|(816)471-7141|(573)442-8151|(314)725-4484|(573)334-7044,MO,Claire,McCaskill,Claire McCaskill,(573)651-0964|(573)442-7130|(816)421-1639|(417)868-8745|(314)367-1364
