ocdid,levels,recursive,roles,fields
ocd-division/country:us/state:al,,,headOfGovernment,ocd-division/country:us/state:ac,,,headOfGovernment,
ocd-division/country:us/state:ak,,,headOfGovernment,
ocd-division/country:us/state:az,,,headOfGovernment,
ocd-division/country:us/state:ar,,,headOfGovernment,
ocd-division/country:us/state:ca,,,headOfGovernment,
ocd-division/country:us/state:co,,,headOfGovernment,
ocd-division/country:us/state:ct,,,headOfGovernment,
ocd-division/country:us/district:dc,,,,
ocd-division/country:us/state:de,,,headOfGovernment,
ocd-division/country:us/state:fl,,,headOfGovernment,
ocd-division/country:us/state:ga,,,headOfGovernment,
ocd-division/country:us/state:hi,,,headOfGovernment,
ocd-division/country:us/state:id,,,headOfGovernment,
ocd-division/country:us/state:il,,,headOfGovernment,
ocd-division/country:us/state:in,,,headOfGovernment,
ocd-division/country:us/state:ia,,,headOfGovernment,
ocd-division/country:us/state:ks,,,headOfGovernment,
ocd-division/country:us/state:ky,,,headOfGovernment,
ocd-division/country:us/state:la,,,headOfGovernment,
ocd-division/country:us/state:me,,,headOfGovernment,
ocd-division/country:us/state:md,,,headOfGovernment,
ocd-division/country:us/state:ma,,,headOfGovernment,
ocd-division/country:us/state:mi,,,headOfGovernment,
ocd-division/country:us/state:mn,,,headOfGovernment,
ocd-division/country:us/state:ms,,,headOfGovernment,
ocd-division/country:us/state:mo,,,headOfGovernment,
ocd-division/country:us/state:mt,,,headOfGovernment,
ocd-division/country:us/state:ne,,,headOfGovernment,
ocd-division/country:us/state:nv,,,headOfGovernment,
ocd-division/country:us/state:nh,,,headOfGovernment,
ocd-division/country:us/state:nj,,,headOfGovernment,
ocd-division/country:us/state:nm,,,headOfGovernment,
ocd-division/country:us/state:ny,,,headOfGovernment,
ocd-division/country:us/state:nc,,,headOfGovernment,
ocd-division/country:us/state:nd,,,headOfGovernment,
ocd-division/country:us/state:oh,,,headOfGovernment,
ocd-division/country:us/state:ok,,,headOfGovernment,
ocd-division/country:us/state:or,,,headOfGovernment,
ocd-division/country:us/state:pa,,,headOfGovernment,
ocd-division/country:us/state:ri,,,headOfGovernment,
ocd-division/country:us/state:sc,,,headOfGovernment,
ocd-division/country:us/state:sd,,,headOfGovernment,
ocd-division/country:us/state:tn,,,headOfGovernment,
ocd-division/country:us/state:tx,,,headOfGovernment,
ocd-division/country:us/state:ut,,,headOfGovernment,
ocd-division/country:us/state:vt,,,headOfGovernment,
ocd-division/country:us/state:va,,,headOfGovernment,
ocd-division/country:us/state:wa,,,headOfGovernment,
ocd-division/country:us/state:wv,,,headOfGovernment,
ocd-division/country:us/state:wi,,,headOfGovernment,
ocd-division/country:us/state:wy,,,headOfGovernment,
