ocdid,levels,recursive,roles,fields
ocd-division/country:us/state:al/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:al/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:al/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:al/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:al/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:al/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:al/cd:7,,,legislatorLowerBody,
ocd-division/country:us/territory:as,,,legislatorLowerBody,
ocd-division/country:us/state:az/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:az/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:az/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:az/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:az/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:az/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:az/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:az/cd:8,,,legislatorLowerBody,
ocd-division/country:us/state:az/cd:9,,,legislatorLowerBody,
ocd-division/country:us/state:ar/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:ar/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:ar/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:ar/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:8,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:9,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:10,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:11,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:12,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:13,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:14,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:15,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:16,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:17,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:18,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:19,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:20,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:21,,,legislatorLowerBody,
ocd-division/country:us/state:ca/cd:22,,,legislatorLowerBody,
